0,1
lb,0.8674957
en,1
en,0.9895866
en,1
en,1
en,1
en,1
en,1
en,0
en,0.96454114
en,0.7130423
en,0
ja,0.45607215
en,1
en,1
"['ar', 'vi']","[0.43021756, 0.37574497]"
en,0.9742594
de,0.25713277
en,1
en,0.7989001
en,0.9729896
en,1
en,1
es,0.3757311
en,1
en,0.8713924
en,1
en,0.9237882
en,1
en,0.98034906
en,0
en,0
en,0.9412152
en,0
su,0.38046893
en,1
en,1
"['fr', 'en']","[0.5095755, 0.42850018]"
en,0.9848595
en,1
en,0.9853365
en,1
en,1
en,0.5686767
en,1
ja,0.32753548
sv,0.8861864
en,1
en,0.79494685
en,1
en,0.9889545
bg,0.34574106
en,1
en,0.90538085
en,1
en,1
en,0.90773517
es,0.776949
en,0.3154301
xh,0.43449524
pt,0.9856109
en,0.97949684
en,1
en,1
en,0.9809654
en,1
es,0.96875
ro,0.3231737
en,1
en,1
ilo,0.6411583
en,1
en,1
en,1
en,1
en,1
en,1
en,1
hi,0.41816387
en,0.9089186
en,1
ru,1
en,1
en,0.5087945
fr,0.8871595
en,1
en,0.87401897
en,0
en,0.9583628
en,1
tl,1
en,1
en,0.972997
en,1
en,1
en,0
ms,0.52509654
en,1
en,1
en,1
en,1
en,1
en,0.86372596
bg,0.5547527
en,1
en,0.7613333
en,0.49781314
en,1
en,1
en,0.46505767
en,1
mg,0.8108108
en,1
en,0.48320198
en,1
en,1
en,1
en,1
en,0.41903412
en,1
la,0.7355247
en,0.6651704
en,1
en,0.9143745
en,1
en,1
id,0.51553786
en,1
hi,0.32578272
ca,0.7893846
en,0.77630913
en,1
en,1
en,0.98617274
en,1
ilo,0.7064752
ak,1
en,0
en,0.68587583
en,0.9467421
ur,0.7019608
sv,0.9463465
en,0.97503656
en,1
en,1
en,1
en,0.93389
en,1
en,1
en,0.92879856
en,1
en,1
en,1
en,1
en,0.96416885
en,1
en,1
en,1
en,1
en,0.7539474
en,0.47546315
en,0.8899899
la,0.8266254
en,1
en,1
hi,0.8234182
en,0.97029716
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,0.8977292
vi,0.69471973
en,0.4205431
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,0
en,0.49499485
en,1
en,0.9815626
en,0.9175693
en,0.9862464
en,1
en,0.97492975
en,1
en,1
en,1
en,1
la,0.85152656
en,0.889034
en,1
mr,0.30425322
en,1
en,0.9895866
en,1
en,0
en,1
en,1
en,0
en,0.9886548
it,1
en,1
en,1
"['om', 'en']","[0.56379074, 0.4231289]"
en,0.9895833
en,1
en,1
en,0.9372266
en,0.9835118
en,1
en,1
en,1
en,1
en,0.98871535
en,1
ar,1
fr,1
en,1
en,1
en,1
en,0
en,0.77259195
en,1
en,1
en,1
en,1
en,1
en,1
en,1
te,0.34509847
hi,0.3751002
en,1
ar,0.8764123
en,1
en,1
en,1
en,1
en,0.9386667
hi,0.3997133
en,1
en,1
en,1
en,0.23870243
en,0.9801849
hi,0.31175727
en,0
en,0.96510065
en,1
en,0
no,0.7551673
nl,1
en,0.98744076
en,1
en,1
en,1
en,1
en,0.36112317
en,1
en,1
en,1
en,1
"['es', 'pt']","[0.640625, 0.359375]"
en,1
en,1
eo,1
yo,0.26693228
en,0
en,0
en,0.9545454
en,0.9866667
en,0.25896618
en,0.9743948
pt,1
en,0.97849363
en,1
en,0
en,0.7821766
en,1
en,1
en,1
en,1
en,1
en,1
en,0
mt,0.8405693
en,1
bg,0.91771734
ja,0.5560795
en,1
en,0.9865371
en,1
en,1
en,0
en,1
fr,0.98556936
tr,0.34117648
en,1
en,1
en,0.988031
en,0.91258985
zh-CN,0.90662074
en,1
en,1
en,0.82053745
en,1
en,1
en,0.97294796
en,1
en,1
ro,0.2359913
en,0.9476359
en,1
en,1
en,1
en,0.73617697
en,1
en,1
en,0.64607275
en,1
en,0.97905755
en,1
en,0
en,1
en,1
en,0.95174956
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,1
en,0
en,1
co,0.9257722
en,1
en,1
en,1
en,1
en,1
ar,1
en,0.92751676
en,0.76047117
en,0
en,1
en,0
en,1
en,0.7725989
en,1
en,1
en,0.97293484
en,0.9886548
en,1
en,1
en,0.8576078
en,1
en,0.86812645
en,1
en,1
en,0
en,1
en,0.9827026
en,1
pt,0.4396887
en,0.85848194
pl,1
en,1
en,0.96482575
en,1
en,1
en,1
en,0.98809487
en,0.96945727
en,0.87008053
en,1
"['en', 'ar']","[0.5686084, 0.43139157]"
en,1
en,0
en,1
fr,0.6201484
en,1
en,1
haw,0.3325639
en,0.9719949
hmn,0.5237325
en,1
en,0.8380015
en,0.76701576
en,0.40595078
en,1
en,1
en,1
en,1
en,1
en,0.98270255
en,1
en,1
no,1
en,0.7960818
nl,0.5585753
no,1
lt,0.8984375
en,0.8231492
en,0.9788341
en,0.9759358
co,0.9173229
ja,0.9576883
uk,1
bg,0.69063586
en,1
en,0.8301453
en,0.97492975
en,1
en,1
nl,0.674615
en,1
en,0.9722882
en,1
az,0.5444015
en,1
en,1
en,1
en,1
en,1
en,1
en,0.95188934
en,1
en,1
en,1
en,1
la,0.36582112
en,1
en,0.12041352
en,1
la,0.86052215
en,0.92026037
en,1
en,1
